0,0,0,0,0
0,0,0,0,0
0.1,0,0,0.03,0
0.2,0,0,0.06,0
0.3,0,0,0.09,0
0.4,0,0,0.12,0
0.5,0,0,0.15,0
0.6,0,0,0.18,0
0.7,0,0,0.21,0
0.8,0,0,0.24,0
0.9,0,0,0.27,0
1,0,0,0.3,0
1.1,0,0,0.33,0
1.2,0,0,0.36,0
1.3,0,0,0.39,0
1.4,0,0,0.42,0
1.5,0,0,0.45,0
1.6,0,0,0.48,0
1.7,0,0,0.51,0
1.8,0,0,0.54,0
1.9,0,0,0.57,0
2,0,0,0.6,0
2.1,0,0,0.63,0
2.2,0,0,0.66,0
2.3,0,0,0.69,0
2.4,0,0,0.72,0
2.5,0,0,0.75,0
2.6,0,0,0.78,0
2.7,0,0,0.81,0
2.8,0,0,0.84,0
2.9,0,0,0.87,0
3,0,0,0.9,0
3.1,0,0,0.93,0
3.2,0,0,0.96,0
3.3,0,0,0.99,0
3.4,0,0,1.02,0
3.5,0,0,1.05,0
3.6,0,0,1.08,0
3.7,0,0,1.11,0
3.8,0,0,1.14,0
3.9,0,0,1.17,0
4,0,0,1.2,0
4.1,0,0,1.23,0
4.2,0,0,1.26,0
4.3,0,0,1.29,0
4.4,0,0,1.32,0
4.5,0,0,1.35,0
4.6,0,0,1.38,0
4.7,0,0,1.41,0
4.8,0,0,1.44,0
4.9,0,0,1.47,0
5,0,0,1.5,0
5.1,0,-0.1,1.5,0
5.2,0,-0.2,1.5,0
5.3,0,-0.3,1.5,0
5.4,0,-0.4,1.5,0
5.5,0,-0.5,1.5,0
5.6,0.1,-0.5,1.5,0
5.7,0.2,-0.5,1.5,0
5.8,0.3,-0.5,1.5,0
5.9,0.4,-0.5,1.5,0
5.99999999999999,0.5,-0.5,1.5,0
6.09999999999999,0.6,-0.5,1.5,0
6.19999999999999,0.7,-0.5,1.5,0
6.29999999999999,0.8,-0.5,1.5,0
6.39999999999999,0.9,-0.5,1.5,0
6.49999999999999,1,-0.5,1.5,0
6.59999999999999,1.1,-0.5,1.5,0
6.69999999999999,1.2,-0.5,1.5,0
6.79999999999999,1.3,-0.5,1.5,0
6.89999999999999,1.4,-0.5,1.5,0
6.99999999999999,1.5,-0.5,1.5,0
7.09999999999999,1.6,-0.5,1.5,0
7.19999999999999,1.7,-0.5,1.5,0
7.29999999999999,1.8,-0.5,1.5,0
7.39999999999999,1.9,-0.5,1.5,0
7.49999999999999,2,-0.5,1.5,0
7.59999999999999,2.1,-0.5,1.5,0
7.69999999999999,2.2,-0.5,1.5,0
7.79999999999999,2.3,-0.5,1.5,0
7.89999999999999,2.4,-0.5,1.5,0
7.99999999999999,2.5,-0.5,1.5,0
8.09999999999999,2.6,-0.5,1.5,0
8.19999999999999,2.7,-0.5,1.5,0
8.29999999999999,2.8,-0.5,1.5,0
8.39999999999999,2.9,-0.5,1.5,0
8.49999999999999,3,-0.5,1.5,0
8.59999999999999,3,-0.4,1.5,0
8.69999999999999,3,-0.3,1.5,0
8.79999999999998,3,-0.2,1.5,0
8.89999999999998,3,-0.1,1.5,0
8.99999999999998,3,0,1.5,0
9.09999999999998,3.1,0,1.5,0
9.19999999999998,3.2,0,1.5,0
9.29749999999998,3.2,0.0975,1.5,0
9.39499999999998,3.2,0.195,1.5,0
9.49249999999998,3.2,0.2925,1.5,0
9.58999999999998,3.2,0.39,1.5,0
9.68749999999998,3.2,0.4875,1.5,0
9.78499999999998,3.2,0.585,1.5,0
9.88249999999998,3.2,0.6825,1.5,0
9.97999999999998,3.2,0.78,1.5,0
10.0775,3.2,0.8775,1.5,0
10.175,3.2,0.975,1.5,0
10.2725,3.2,1.0725,1.5,0
10.37,3.2,1.17,1.5,0
10.47,3.1,1.17,1.5,0
10.57,3,1.17,1.5,0
10.6622222222222,3,1.26222222222222,1.5,0
10.7544444444444,3,1.35444444444444,1.5,0
10.8466666666667,3,1.44666666666667,1.5,0
10.9388888888889,3,1.53888888888889,1.5,0
11.0311111111111,3,1.63111111111111,1.5,0
11.1233333333333,3,1.72333333333333,1.5,0
11.2155555555555,3,1.81555555555556,1.5,0
11.3077777777778,3,1.90777777777778,1.5,0
11.4,3,2,1.5,0
11.5,3,2,1.5,0
11.6,3,2,1.5,0
11.7,3,2,1.5,0
11.8,3,2,1.5,0
11.9,3,2,1.5,0
12,3,2,1.5,0
12.1,3,2,1.5,0
12.2,3,2,1.5,0
12.3,3,2,1.5,0
12.4,3,2,1.5,0
12.5,3,2,1.5,0
12.6,3,2,1.5,0
12.7,3,2,1.5,0
12.8,3,2,1.5,0
12.9,3,2,1.5,0
13,3,2,1.5,0
13.1,3,2,1.5,0
13.2,3,2,1.5,0
13.3,3,2,1.5,0
13.4,3,2,1.5,0
13.5,3,2,1.47,0
13.6,3,2,1.44,0
13.7,3,2,1.41,0
13.8,3,2,1.38,0
13.9,3,2,1.35,0
14,3,2,1.32,0
14.1,3,2,1.29,0
14.2,3,2,1.26,0
14.3,3,2,1.23,0
14.4,3,2,1.2,0
14.5,3,2,1.17,0
14.6,3,2,1.14,0
14.7,3,2,1.11,0
14.8,3,2,1.08,0
14.9,3,2,1.05,0
15,3,2,1.02,0
15.1,3,2,0.99,0
15.2,3,2,0.96,0
15.3,3,2,0.93,0
15.4,3,2,0.9,0
15.5,3,2,0.87,0
15.6,3,2,0.84,0
15.7,3,2,0.81,0
15.8,3,2,0.78,0
15.9,3,2,0.75,0
16,3,2,0.72,0
16.1,3,2,0.69,0
16.2,3,2,0.66,0
16.3,3,2,0.63,0
16.4,3,2,0.6,0
16.5,3,2,0.57,0
16.6,3,2,0.54,0
16.7,3,2,0.51,0
16.8,3,2,0.48,0
16.9,3,2,0.45,0
